package_name,installed_version,architecture,latest_version
gcc-multilib,4:6.1.1-1,amd64,4:6.3.0-1
gconf-service,3.2.6-3,amd64,3.2.6-4
gconf2,3.2.6-3,amd64,3.2.6-4
gconf2-common,3.2.6-3,all,3.2.6-4
gcr,3.20.0-2,amd64,3.20.0-5
gdb,7.11.1-2,amd64,7.12-6
gdbserver,7.11.1-2,amd64,7.12-6
gdebi-core,0.9.5.7,all,0.9.5.7+nmu1
gdm3,3.20.1-1,amd64,3.22.1-2
gedit,3.20.2-2,amd64,3.22.0-2
gedit-common,3.20.2-2,all,3.22.0-2
geoclue-2.0,2.4.3-1,amd64,2.4.5-1
geoip-database,20160812-1,all,20170111-1
geoip-database-extra,20160812-1,all,20170111-1
gettext,0.19.8.1-1,amd64,0.19.8.1-2
gettext-base,0.19.8.1-1,amd64,0.19.8.1-2
gfortran-mingw-w64,6.1.1-12+19.1,all,6.2.1-3+19.2
gfortran-mingw-w64-i686,6.1.1-12+19.1,amd64,6.2.1-3+19.2
gfortran-mingw-w64-x86-64,6.1.1-12+19.1,amd64,6.2.1-3+19.2
ghost-phisher,1.64-0kali2,all,1.64-0kali3
ghostscript,9.19~dfsg-2,amd64,9.20~dfsg-2
gir1.2-accountsservice-1.0,0.6.40-3,amd64,0.6.43-1
gir1.2-atk-1.0,2.20.0-1,amd64,2.22.0-1
gir1.2-atspi-2.0,2.20.2-1,amd64,2.22.0-5
gir1.2-clutter-1.0,1.26.0-2,amd64,1.26.0+dfsg-2
gir1.2-clutter-gst-3.0,3.0.18-1,amd64,3.0.22-1
gir1.2-cogl-1.0,1.22.0-2,amd64,1.22.2-2
gir1.2-coglpango-1.0,1.22.0-2,amd64,1.22.2-2
gir1.2-evince-3.0,3.20.1-1,amd64,3.22.1-3
gir1.2-freedesktop,1.48.0-3,amd64,1.50.0-1
gir1.2-gck-1,3.20.0-2,amd64,3.20.0-5
gir1.2-gcr-3,3.20.0-2,amd64,3.20.0-5
gir1.2-gdesktopenums-3.0,3.20.0-3,amd64,3.22.0-1
gir1.2-gdkpixbuf-2.0,2.34.0-1,amd64,2.36.4-1
gir1.2-gdm-1.0,3.20.1-1,amd64,3.22.1-2
gir1.2-gkbd-3.0,3.6.0-1,amd64,3.22.0.1-1
gir1.2-glib-2.0,1.48.0-3,amd64,1.50.0-1
gir1.2-gnomedesktop-3.0,3.20.2-1,amd64,3.22.2-1
gir1.2-gst-plugins-base-1.0,1.8.3-1,amd64,1.10.3-1
gir1.2-gstreamer-1.0,1.8.3-1,amd64,1.10.3-1
gir1.2-gtk-2.0,2.24.30-4,amd64,2.24.31-2
gir1.2-gtk-3.0,3.20.9-1,amd64,3.22.7-2
gir1.2-gtkclutter-1.0,1.8.0-1,amd64,1.8.2-1
gir1.2-gtksource-3.0,3.20.4-1,amd64,3.22.2-1
gir1.2-gtop-2.0,2.34.0-1,amd64,2.34.2-1
