file_path,MD5sum,Build-ID,Size(bytes),ModifiedTime,ModifiedTime(HumanReadable)
/usr/lib/i386-linux-gnu/gconv/ARMSCII-8.so,a07873bc21b993add62e1168274d73bd,b548bf0343e8fec4c4c2461f72dff6e7e7caa147,9680,1484588617,2017-01-16 18:43:37.000000000 +0100
/usr/lib/i386-linux-gnu/gconv/ASMO_449.so,c73da515415cd849c7826c66e314faba,cfb1b671134f4123072e43a07cca586634a5290a,9680,1484588617,2017-01-16 18:43:37.000000000 +0100
/usr/lib/i386-linux-gnu/gconv/BIG5HKSCS.so,a42b0a2463a7a13d16e91f2b569035e2,6b41eca0edf843fd6cbf7dad12fe0059d1f9eead,234960,1484588617,2017-01-16 18:43:37.000000000 +0100
/usr/lib/i386-linux-gnu/gconv/BIG5.so,2341397cb8764e1070f74f1dd950c38b,4cbcf0b1efc6180712e01e97375c764012de3510,87504,1484588617,2017-01-16 18:43:37.000000000 +0100
/usr/lib/i386-linux-gnu/gconv/BRF.so,76b8dace80df021d8efd5a92e6655e77,bb48a0ec1aa85432903399fba721e687c96b1e03,9680,1484588617,2017-01-16 18:43:37.000000000 +0100
/usr/lib/i386-linux-gnu/gconv/CP10007.so,60aaba2187f6f583cb9e52ea081dfb1a,5e90088ca6ae6260b9d7fbc4f9be9ced42278a14,9680,1484588617,2017-01-16 18:43:37.000000000 +0100
/usr/lib/i386-linux-gnu/gconv/CP1125.so,e5631e4ecd3edfe9dac79a4ba6bdad7e,d11190d60c4ee238cfcd1a34ea5469ff352fbf66,9680,1484588617,2017-01-16 18:43:37.000000000 +0100
/usr/lib/i386-linux-gnu/gconv/CP1250.so,e30b4997e3d4830808caad84573805fb,9d087a7730ae4b3d3af3169d8f99bbbc7d315057,9680,1484588617,2017-01-16 18:43:37.000000000 +0100
/usr/lib/i386-linux-gnu/gconv/CP1251.so,c6a630059596eba20ae30b476c22aebd,818e33889c15cf66edb178c1a2f9bbb99c9bf5d4,9680,1484588617,2017-01-16 18:43:37.000000000 +0100
/usr/lib/i386-linux-gnu/gconv/CP1252.so,d167f59210fa1f58f47d24c0cab46632,b344c322032addd0c2ad046fc80f79998c89dc30,9680,1484588617,2017-01-16 18:43:37.000000000 +0100
/usr/lib/i386-linux-gnu/gconv/CP1253.so,843411eccff587db70cfe69d28320f37,9aa376da40585d31615b40629ab5c571487ea24b,9680,1484588617,2017-01-16 18:43:37.000000000 +0100
/usr/lib/i386-linux-gnu/gconv/CP1254.so,becb7bb0540b288b32ec1fd2622d0be8,b736b1044530ef86b7ba58bed401fbfd0117898f,9680,1484588617,2017-01-16 18:43:37.000000000 +0100
/usr/lib/i386-linux-gnu/gconv/CP1255.so,94ea85c1ebdb1911cd3c84353db524a1,b27bbc880a0d7800527cde5db92f910ec125c2a6,13776,1484588617,2017-01-16 18:43:37.000000000 +0100
/usr/lib/i386-linux-gnu/gconv/CP1256.so,e3e5bdca1d33784cc1dfeb37edad6bf3,7bf3db196d57142d7cb3d9e8066fd62285ee309d,9680,1484588617,2017-01-16 18:43:37.000000000 +0100
/usr/lib/i386-linux-gnu/gconv/CP1257.so,b066c1b219e5fcbd08d358332e18154d,254b3426bc455d6e00aacac4811da3fb5efba0a9,9680,1484588617,2017-01-16 18:43:37.000000000 +0100
/usr/lib/i386-linux-gnu/gconv/CP1258.so,b0111808a8d5d2c0ee4f68c7ddc9a857,1c4e00c135cd765b99b73928f707338eadef3d0b,13780,1484588617,2017-01-16 18:43:37.000000000 +0100
/usr/lib/i386-linux-gnu/gconv/CP737.so,ec00bfa6b9310231a1f64a245832881a,dfc6c04cf4bfbb259f948fdedaf965f2104924b3,9680,1484588617,2017-01-16 18:43:37.000000000 +0100
/usr/lib/i386-linux-gnu/gconv/CP770.so,81fc11bf8776d6744b3c7b2b53647d89,84fc405970524a0fbefd8c3e77946c9a1b2f91a7,9680,1484588617,2017-01-16 18:43:37.000000000 +0100
/usr/lib/i386-linux-gnu/gconv/CP771.so,08fb7d3d8d7a76f9db22dec761dc6a72,2575b1f1392869887f9f04d8a1f7e98565580b30,9680,1484588617,2017-01-16 18:43:37.000000000 +0100
